a	один
aback	назад
abandon	покидать
abandoned	заброшенный
abate	утихать
abbey	аббатство
abbot	аббат
abbreviate	сокращать
abbreviated	сокращенный
abbreviation	сокращение
abdicate	отрекаться
abdomen	живот
abduct	похищать
aberration	аберрация
abet	содействовать
abhor	ненавидеть
abide	соблюдать
ability	способность
abject	подлый
able	способный
abnormal	ненормальный
aboard	на борту
abode	жилище
abolish	отменять
abolition	отмена
abominable	гнусный
aborigine	абориген
abort	прервать
abortion	аборт
abound	изобиловать
about	кругом
above	наверху
abrasive	абразивный
abreast	в ряд
abroad	за границей
abrupt	резкий
abruptly	резко
abscess	абсцесс
absence	отсутствие
absent	отсутствующий
absolute	абсолютный
absolutely	абсолютно
absolve	прощать
absorb	всасывать
absorption	поглощение
abstain	воздерживаться
abstinence	воздержание
abstract	абстрактный
absurd	абсурдный
abundance	изобилие
abundant	обильный
abuse	злоупотребление
abut	примыкать
abysmal	глубокий
abyss	бездна
ac	переменный ток
academia	научное сообщество
academic	академический
academy	академия
accelerate	ускоряться
accent	акцент
accentuate	подчеркивать
accept	принимать
acceptable	приемлемый
acceptance	приемка
access	доступ
accessible	доступный
accessory	принадлежность
accident	авария
accidental	случайный
accidentally	случайно
acclaim	шумное приветствие
accolade	акколада
accommodate	размещать
accommodation	размещение
accompany	сопровождать
accomplice	сообщник
accomplish	выполнять
accomplishment	достижение
accord	соответствие
accordance	соответствие
according	согласно
accordingly	соответственно
accordion	аккордеон
account	рассматривать
accountability	подотчетность
accountable	подотчетный
accountant	бухгалтер
accounting	учетный
accretion	аккреция
accrue	накопляться
accumulate	накапливать
accumulation	накопление
accuracy	точность
accurate	верный
accurately	точно
accusation	обвинение
accuse	винить
accused	обвиняемый
accustom	приучать
accustomed	привыкший
ace	туз
acetate	ацетат
ache	болеть
achieve	добиваться
achievement	достижение
achilles	ахилл
acid	кислота
acknowledge	сознавать
acne	угри
acorn	желудь
acoustic	акустический
acquaint	знакомить
acquaintance	знакомый
acquire	обзаводиться
acquisition	приобретение
acquit	оправдывать
acre	акр
acrimony	желчность
acrobat	акробат
acronym	акроним
across	сквозь
acrylic	акриловый
act	дело
action	действие
activate	активировать
active	активный
actively	активно
activist	активист
activity	активность
actor	актер
actress	актриса
actual	реальный
actually	фактически
actuary	актуарий
acuity	острота
acumen	сообразительность
acupuncture	акупунктура
acute	острый
ad	объявление
adage	изречение
adamant	непреклонный
adapt	адаптировать
adaptation	адаптация
add	прибавлять
addendum	добавление
adder	сумматор
addict	заядлый любитель
addiction	зависимость
addictive	вызывающий привычку
addition	добавление
additional	добавочный
address	адрес
adept	знаток
adequate	соответствующий
adequately	в достаточной мере
adhere	придерживаться
adherence	соблюдение
adherent	приверженец
adhesion	адгезия
adhesive	клей
adjacent	смежный
adjective	прилагательное
adjoin	примыкать
adjoining	соседний
adjourn	откладывать
adjudicate	судить
adjunct	дополнение
adjust	регулировать
adjustment	корректировка
administer	управлять
administration	администрация
administrative	административный
administrator	администратор
admiral	адмирал
admiralty	адмиралтейство
admiration	восторг
admire	любоваться
admission	прием
admit	допускать
ado	суета
adolescence	юность
adolescent	подросток
adopt	усыновлять
adoption	принятие
adorable	восхитительный
adore	обожать
adorn	украшать
adrenalin	адреналин
adrift	по течению
adult	взрослый
adultery	прелюбодеяние
advance	движение вперёд
advanced	передовой
advantage	преимущество
advent	приход
adventure	приключение
adversary	противник
adverse	неблагоприятный
advertise	рекламировать
advertisement	реклама
advertising	реклама
advice	совет
advise	советовать
adviser	советник
advisory	консультативный
advocacy	пропаганда
advocate	адвокат
aegis	эгида
aerate	аэрировать
aerial	воздушный
aerobic	аэробный
aerobics	аэробика
aerodynamic	аэродинамический
aeronautical	воздухоплавательный
aerosol	аэрозоль
aerospace	аэрокосмический
aesthetic	эстетический
afar	вдалеке
affair	дело
affect	влиять
affection	любовь
affidavit	аффидевит
affiliate	филиал
affinity	родство
affirm	подтверждать
affirmative	утвердительный
affix	приложить
afflict	причинять боль
affluence	изобилие
affluent	богатый
afford	быть в состоянии
affront	оскорбление
